epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.72,1.64877,2.19462,1.26208,0.47155,0.26354,0.28081,0.14382,1.59262,25.1756,1.47746,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858
2,229.442,1.55909,1.20077,1.17423,0.31976,0.27653,0.17647,0.08191,1.85478,33.3747,1.72686,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801
3,339.408,1.61055,1.12677,1.20443,0.27174,0.17906,0.15722,0.06494,2.19025,8.16226,2.01796,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345
4,449.703,1.61788,1.06575,1.21,0.63155,0.41155,0.4105,0.18459,1.83348,3.38578,1.69248,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,563.259,1.57226,0.97673,1.18846,0.40627,0.20866,0.18118,0.07297,2.16152,17.3521,1.89301,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,677.359,1.52871,0.91543,1.18136,0.64487,0.31986,0.34629,0.19919,1.69266,15.1186,1.52249,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,791.253,1.51466,0.88263,1.15983,0.43264,0.29603,0.18917,0.07846,2.11101,9.83322,1.96168,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,904.368,1.49225,0.86146,1.1532,0.45556,0.4065,0.31568,0.14087,1.74665,8.43552,1.5429,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1018.27,1.46749,0.82899,1.13964,0.49577,0.38267,0.29344,0.1447,1.73921,6.13459,1.54919,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1130.81,1.44792,0.81502,1.13586,0.49827,0.4231,0.31838,0.16307,1.68286,4.35537,1.4772,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1246.18,1.43077,0.79113,1.12418,0.47491,0.387,0.25378,0.12424,1.64423,6.27134,1.51189,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1359.65,1.4168,0.77373,1.11858,0.67749,0.39061,0.40799,0.22001,1.65163,5.31669,1.4577,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1473.94,1.4155,0.76346,1.11288,0.43155,0.40866,0.25129,0.12409,1.71734,4.89704,1.50385,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1585.99,1.40082,0.74484,1.09644,0.54036,0.36101,0.33923,0.17307,1.78848,15.2764,1.5606,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1700.35,1.38748,0.74083,1.09986,0.69778,0.41675,0.42509,0.24102,1.69735,2.97386,1.51513,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1814.49,1.37801,0.72327,1.09707,0.58892,0.387,0.3156,0.1737,1.62614,5.06029,1.43968,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1928.64,1.37539,0.71795,1.09103,0.60608,0.36326,0.31179,0.16055,1.60969,3.45708,1.46147,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2042.64,1.37142,0.7138,1.08848,0.65761,0.41155,0.44854,0.26942,1.48174,3.5361,1.34691,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2154.67,1.36465,0.70534,1.08534,0.70202,0.41372,0.44894,0.23076,1.67561,3.42284,1.51544,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2268.25,1.34951,0.69277,1.07776,0.80916,0.37329,0.44344,0.24552,1.62818,4.089,1.48847,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2381.01,1.34993,0.69309,1.0778,0.78222,0.35523,0.43112,0.24111,1.65403,3.31844,1.44474,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2494.55,1.34308,0.67842,1.07485,0.65818,0.40289,0.41016,0.24063,1.55726,3.23201,1.40699,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2608.63,1.34284,0.67813,1.07097,0.59762,0.39571,0.37232,0.21035,1.58138,3.20173,1.4514,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2722.21,1.3305,0.67048,1.06742,0.81918,0.41541,0.4826,0.28228,1.49858,2.40603,1.3375,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2833.69,1.31775,0.65985,1.061,0.84579,0.40789,0.44986,0.24663,1.58268,3.3027,1.44071,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2946.24,1.32028,0.65998,1.0596,0.50928,0.4,0.30476,0.16647,1.58959,3.95741,1.41036,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3059.04,1.30812,0.64897,1.05928,0.54147,0.41778,0.35918,0.18807,1.68449,3.17737,1.48517,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3170.52,1.31188,0.65606,1.05433,0.67902,0.41088,0.42292,0.24207,1.59915,3.90624,1.39293,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3282.32,1.31065,0.64813,1.05545,0.41884,0.39711,0.28853,0.17308,1.62824,3.57388,1.43173,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,3394.7,1.3052,0.64382,1.05695,0.67754,0.37623,0.38725,0.22503,1.59692,5.70952,1.46929,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,3506.18,1.29063,0.63607,1.05022,0.51879,0.39278,0.30253,0.16868,1.59518,3.65726,1.42956,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,3618.2,1.29725,0.63797,1.05462,0.61236,0.34946,0.35824,0.20835,1.60274,3.79546,1.41978,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,3730.72,1.29082,0.6293,1.05404,0.56679,0.45199,0.42787,0.24737,1.55129,3.28772,1.36728,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,3842.56,1.29391,0.62959,1.04727,0.54427,0.45098,0.3989,0.24838,1.50886,3.64199,1.36954,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,3953.15,1.27256,0.62211,1.04008,0.87386,0.39422,0.46882,0.27704,1.50006,2.52396,1.38501,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4063.8,1.27155,0.61998,1.04341,0.59431,0.42944,0.41801,0.25786,1.5296,9.27125,1.38427,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4175.24,1.27803,0.6224,1.04479,0.43748,0.4361,0.33458,0.18413,1.54544,4.60731,1.4245,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4286.47,1.26428,0.60973,1.03581,0.86486,0.42022,0.4977,0.30422,1.48111,2.21673,1.36556,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4399.34,1.27114,0.61006,1.04117,0.58359,0.3744,0.33911,0.21276,1.54145,3.67312,1.39333,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,4511.91,1.27101,0.61249,1.0375,0.68864,0.44234,0.40137,0.23456,1.57003,3.08425,1.3904,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,4626.14,1.25583,0.60472,1.03031,0.61161,0.41083,0.40837,0.23384,1.58626,3.84716,1.42051,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,4739.19,1.25281,0.60282,1.03404,0.56203,0.42671,0.39132,0.24727,1.50565,3.00299,1.40203,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,4851.39,1.25822,0.60435,1.03249,0.51763,0.42022,0.32404,0.19549,1.52399,3.13368,1.41228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,4964.84,1.24342,0.59536,1.033,0.68359,0.40794,0.43287,0.26135,1.60784,2.84034,1.4493,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5077,1.24747,0.59671,1.02821,0.61916,0.42527,0.45638,0.26549,1.55643,3.28124,1.41459,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5189.71,1.24991,0.59313,1.02597,0.69734,0.39134,0.38669,0.23588,1.52348,2.81789,1.38448,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5302.06,1.23581,0.59112,1.02792,0.57845,0.42094,0.42108,0.24509,1.57383,3.30606,1.41394,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,5415.67,1.23199,0.58719,1.02515,0.87025,0.41733,0.50502,0.30765,1.5032,2.2271,1.35739,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,5528.83,1.22938,0.58535,1.02234,0.77805,0.40072,0.4473,0.27547,1.5087,2.69035,1.3685,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,5641.71,1.23303,0.57972,1.01789,0.634,0.40649,0.40382,0.24305,1.56247,11.3404,1.42601,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,5754.89,1.22826,0.5839,1.02318,0.69027,0.4361,0.45923,0.2852,1.5302,2.86002,1.37896,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,5866.99,1.21836,0.57508,1.01797,0.58471,0.41155,0.42976,0.28055,1.48177,2.70892,1.35544,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,5980.28,1.22068,0.57828,1.01919,0.51166,0.37545,0.37331,0.23797,1.47959,8.94834,1.37836,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,6093.75,1.22034,0.57392,1.01715,0.73957,0.40939,0.45136,0.29305,1.52062,4.26026,1.36477,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,6207.04,1.21488,0.57048,1.01591,0.8411,0.40505,0.48034,0.30422,1.49835,2.90469,1.36431,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,6319.13,1.20658,0.56497,1.01203,0.81778,0.41155,0.47177,0.29459,1.45305,5.02696,1.32353,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,6431.44,1.21156,0.56997,1.0165,0.55942,0.44188,0.38805,0.2324,1.50433,2.72625,1.3807,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,6545.87,1.2055,0.5637,1.00928,0.77083,0.39206,0.46991,0.28776,1.4689,2.46946,1.34701,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,6660.71,1.19793,0.55951,1.01279,0.72993,0.41877,0.46214,0.29311,1.43447,2.57043,1.32796,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,6773.99,1.20483,0.55961,1.01007,0.64766,0.41877,0.43594,0.27133,1.49768,5.96378,1.35595,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,6887.12,1.20043,0.55944,1.01107,0.85937,0.40939,0.48989,0.29382,1.53279,2.62443,1.39818,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,7001.86,1.19738,0.55295,1.00741,0.79435,0.38267,0.45839,0.28882,1.46477,2.33613,1.33284,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,7114.5,1.19776,0.5568,1.00986,0.71887,0.41949,0.47764,0.29979,1.51718,2.27079,1.37223,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,7229.48,1.18941,0.55387,1.00623,0.5752,0.43249,0.40247,0.23627,1.51933,2.57677,1.37727,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,7345.27,1.18643,0.55102,1.0026,0.65605,0.46963,0.49412,0.3144,1.39822,2.37492,1.30451,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,7459.99,1.19946,0.55719,1.01269,0.81596,0.39693,0.48543,0.30986,1.45032,2.14739,1.32301,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,7573.38,1.18838,0.55238,1.00129,0.69719,0.41877,0.47105,0.31328,1.43536,2.55682,1.31234,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,7686.79,1.19029,0.54956,1.00393,0.78157,0.3591,0.43454,0.27812,1.53557,2.64745,1.38088,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,7799.3,1.18338,0.54949,0.99918,0.75933,0.36029,0.43989,0.27514,1.4932,2.48579,1.35399,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
